0729 18:00:43: {, F} heelo
0730 20:13:28: {main, T} [Trace]Program Start....
0730 20:13:29: {main, T} [Trace]Program Start....
0730 20:13:30: {main, T} [Trace]Program Start....
0730 20:13:31: {main, T} [Trace]Program Start....
0730 20:13:32: {main, T} [Trace]Program Start....
0730 20:13:33: {main, T} [Trace]Program Start....
0730 20:13:34: {main, T} [Trace]Program Start....
0730 20:13:35: {main, T} [Trace]Program Start....
0730 20:13:36: {main, T} [Trace]Program Start....
0730 20:13:37: {main, T} [Trace]Program Start....
0730 20:13:38: {main, T} [Trace]Program Start....
0730 20:13:39: {main, T} [Trace]Program Start....
0730 20:13:40: {main, T} [Trace]Program Start....
0730 20:14:48: {main, T} [Trace]Program Start....
0730 20:14:49: {main, T} [Trace]Program Start....
0730 20:14:50: {main, T} [Trace]Program Start....
0730 20:14:51: {main, T} [Trace]Program Start....
0730 20:14:52: {main, T} [Trace]Program Start....
0730 20:14:53: {main, T} [Trace]Program Start....
0730 20:14:54: {main, T} [Trace]Program Start....
0730 20:14:55: {main, T} [Trace]Program Start....
0730 20:14:56: {main, T} [Trace]Program Start....
0730 20:14:57: {main, T} [Trace]Program Start....
0730 20:14:58: {main, T} [Trace]Program Start....
0730 20:14:59: {main, T} [Trace]Program Start....
0730 20:15:00: {main, T} [Trace]Program Start....
0730 20:15:01: {main, T} [Trace]Program Start....
0730 20:15:02: {main, T} [Trace]Program Start....
0730 20:15:22: {main, T} [Trace]Program Start....
0730 20:15:23: {main, T} [Trace]Program Start....
0730 20:15:24: {main, T} [Trace]Program Start....
0730 20:15:25: {main, T} [Trace]Program Start....
0730 20:15:26: {main, T} [Trace]Program Start....
0730 20:15:27: {main, T} [Trace]Program Start....
0730 20:15:28: {main, T} [Trace]Program Start....
0730 20:15:29: {main, T} [Trace]Program Start....
0730 20:15:30: {main, T} [Trace]Program Start....
0730 20:15:31: {main, T} [Trace]Program Start....
0730 20:15:32: {main, T} [Trace]Program Start....
0730 20:15:33: {main, T} [Trace]Program Start....
0730 20:15:34: {main, T} [Trace]Program Start....
0730 20:15:35: {main, T} [Trace]Program Start....
0730 20:15:36: {main, T} [Trace]Program Start....
0730 20:15:37: {main, T} [Trace]Program Start....
0730 20:15:38: {main, T} [Trace]Program Start....
0730 20:15:39: {main, T} [Trace]Program Start....
0730 20:15:40: {main, T} [Trace]Program Start....
0730 20:15:41: {main, T} [Trace]Program Start....
0730 20:15:42: {main, T} [Trace]Program Start....
0730 20:15:43: {main, T} [Trace]Program Start....
0730 20:15:44: {main, T} [Trace]Program Start....
0730 20:15:45: {main, T} [Trace]Program Start....
0730 20:15:46: {main, T} [Trace]Program Start....
0730 20:15:47: {main, T} [Trace]Program Start....
0730 20:15:48: {main, T} [Trace]Program Start....
0730 20:15:49: {main, T} [Trace]Program Start....
0730 20:15:50: {main, T} [Trace]Program Start....
0730 20:15:51: {main, T} [Trace]Program Start....
0730 20:15:52: {main, T} [Trace]Program Start....
0730 20:15:53: {main, T} [Trace]Program Start....
0730 20:15:54: {main, T} [Trace]Program Start....
0730 20:15:55: {main, T} [Trace]Program Start....
0730 20:15:56: {main, T} [Trace]Program Start....
0730 20:15:57: {main, T} [Trace]Program Start....
0730 20:15:58: {main, T} [Trace]Program Start....
0730 20:15:59: {main, T} [Trace]Program Start....
0730 20:16:00: {main, T} [Trace]Program Start....
0730 20:16:01: {main, T} [Trace]Program Start....
0730 20:16:02: {main, T} [Trace]Program Start....
0730 20:16:03: {main, T} [Trace]Program Start....
0730 20:16:04: {main, T} [Trace]Program Start....
0730 20:16:05: {main, T} [Trace]Program Start....
0730 20:16:06: {main, T} [Trace]Program Start....
0730 20:16:07: {main, T} [Trace]Program Start....
0730 20:16:08: {main, T} [Trace]Program Start....
0730 20:16:09: {main, T} [Trace]Program Start....
0730 20:16:10: {main, T} [Trace]Program Start....
0730 20:16:11: {main, T} [Trace]Program Start....
0730 20:16:12: {main, T} [Trace]Program Start....
0730 20:16:13: {main, T} [Trace]Program Start....
0730 20:16:14: {main, T} [Trace]Program Start....
0730 20:16:15: {main, T} [Trace]Program Start....
0730 20:16:16: {main, T} [Trace]Program Start....
0730 20:16:17: {main, T} [Trace]Program Start....
0730 20:16:18: {main, T} [Trace]Program Start....
0730 20:16:19: {main, T} [Trace]Program Start....
0730 20:16:20: {main, T} [Trace]Program Start....
0730 20:16:21: {main, T} [Trace]Program Start....
0730 20:16:22: {main, T} [Trace]Program Start....
0730 20:16:23: {main, T} [Trace]Program Start....
0730 20:16:24: {main, T} [Trace]Program Start....
0730 20:16:25: {main, T} [Trace]Program Start....
0730 20:16:26: {main, T} [Trace]Program Start....
0730 20:16:27: {main, T} [Trace]Program Start....
0730 20:16:28: {main, T} [Trace]Program Start....
0730 20:16:29: {main, T} [Trace]Program Start....
0730 20:16:30: {main, T} [Trace]Program Start....
0730 20:16:31: {main, T} [Trace]Program Start....
0730 20:16:32: {main, T} [Trace]Program Start....
0730 20:16:33: {main, T} [Trace]Program Start....
0730 20:16:34: {main, T} [Trace]Program Start....
0730 20:16:35: {main, T} [Trace]Program Start....
0730 20:16:36: {main, T} [Trace]Program Start....
0730 20:16:37: {main, T} [Trace]Program Start....
0730 20:16:38: {main, T} [Trace]Program Start....
0730 20:16:39: {main, T} [Trace]Program Start....
0730 20:16:40: {main, T} [Trace]Program Start....
0730 20:16:41: {main, T} [Trace]Program Start....
0730 20:16:42: {main, T} [Trace]Program Start....
0730 20:16:43: {main, T} [Trace]Program Start....
0730 20:16:44: {main, T} [Trace]Program Start....
0730 20:16:45: {main, T} [Trace]Program Start....
0730 20:16:46: {main, T} [Trace]Program Start....
0730 20:16:47: {main, T} [Trace]Program Start....
0730 20:16:48: {main, T} [Trace]Program Start....
0730 20:16:49: {main, T} [Trace]Program Start....
0730 20:16:50: {main, T} [Trace]Program Start....
0730 20:16:51: {main, T} [Trace]Program Start....
0730 20:16:52: {main, T} [Trace]Program Start....
0730 20:16:53: {main, T} [Trace]Program Start....
0730 20:16:54: {main, T} [Trace]Program Start....
0730 20:16:55: {main, T} [Trace]Program Start....
0730 20:16:56: {main, T} [Trace]Program Start....
0730 20:16:57: {main, T} [Trace]Program Start....
0730 20:16:58: {main, T} [Trace]Program Start....
0730 20:16:59: {main, T} [Trace]Program Start....
0730 20:17:00: {main, T} [Trace]Program Start....
0730 20:17:01: {main, T} [Trace]Program Start....
0730 20:17:02: {main, T} [Trace]Program Start....
0730 20:17:03: {main, T} [Trace]Program Start....
0730 20:17:04: {main, T} [Trace]Program Start....
0730 20:17:05: {main, T} [Trace]Program Start....
0730 20:17:06: {main, T} [Trace]Program Start....
0730 20:17:07: {main, T} [Trace]Program Start....
0730 20:17:08: {main, T} [Trace]Program Start....
0730 20:17:09: {main, T} [Trace]Program Start....
0730 20:17:10: {main, T} [Trace]Program Start....
0730 20:17:11: {main, T} [Trace]Program Start....
0730 20:17:12: {main, T} [Trace]Program Start....
0730 20:17:13: {main, T} [Trace]Program Start....
0730 20:17:14: {main, T} [Trace]Program Start....
0730 20:17:15: {main, T} [Trace]Program Start....
0730 20:17:16: {main, T} [Trace]Program Start....
0730 20:17:17: {main, T} [Trace]Program Start....
0730 20:17:18: {main, T} [Trace]Program Start....
0730 20:17:19: {main, T} [Trace]Program Start....
0730 20:17:20: {main, T} [Trace]Program Start....
0730 20:17:21: {main, T} [Trace]Program Start....
0730 20:17:22: {main, T} [Trace]Program Start....
0730 20:17:23: {main, T} [Trace]Program Start....
0730 20:17:24: {main, T} [Trace]Program Start....
0730 20:17:25: {main, T} [Trace]Program Start....
0730 20:17:26: {main, T} [Trace]Program Start....
0730 20:17:27: {main, T} [Trace]Program Start....
0730 20:17:28: {main, T} [Trace]Program Start....
0730 20:17:29: {main, T} [Trace]Program Start....
0730 20:17:30: {main, T} [Trace]Program Start....
0730 20:17:31: {main, T} [Trace]Program Start....
0730 20:17:32: {main, T} [Trace]Program Start....
0730 20:17:33: {main, T} [Trace]Program Start....
0730 20:17:34: {main, T} [Trace]Program Start....
0730 20:17:35: {main, T} [Trace]Program Start....
0730 20:17:36: {main, T} [Trace]Program Start....
0730 20:17:37: {main, T} [Trace]Program Start....
0730 20:17:38: {main, T} [Trace]Program Start....
0730 20:17:39: {main, T} [Trace]Program Start....
0730 20:17:40: {main, T} [Trace]Program Start....
0730 20:17:41: {main, T} [Trace]Program Start....
0730 20:17:42: {main, T} [Trace]Program Start....
0730 20:17:43: {main, T} [Trace]Program Start....
0730 20:17:44: {main, T} [Trace]Program Start....
0730 20:17:45: {main, T} [Trace]Program Start....
0730 20:17:46: {main, T} [Trace]Program Start....
0730 20:17:47: {main, T} [Trace]Program Start....
0730 20:17:48: {main, T} [Trace]Program Start....
0730 20:17:49: {main, T} [Trace]Program Start....
0730 20:17:50: {main, T} [Trace]Program Start....
0730 20:17:51: {main, T} [Trace]Program Start....
0730 20:17:52: {main, T} [Trace]Program Start....
0730 20:17:53: {main, T} [Trace]Program Start....
0730 20:17:54: {main, T} [Trace]Program Start....
0730 20:17:55: {main, T} [Trace]Program Start....
0730 20:17:56: {main, T} [Trace]Program Start....
0730 20:17:57: {main, T} [Trace]Program Start....
0730 20:17:58: {main, T} [Trace]Program Start....
0730 20:17:59: {main, T} [Trace]Program Start....
0730 20:18:00: {main, T} [Trace]Program Start....
0730 20:18:01: {main, T} [Trace]Program Start....
0730 20:18:02: {main, T} [Trace]Program Start....
0730 20:18:03: {main, T} [Trace]Program Start....
0730 20:18:04: {main, T} [Trace]Program Start....
0730 20:18:05: {main, T} [Trace]Program Start....
0730 20:18:06: {main, T} [Trace]Program Start....
0730 20:18:07: {main, T} [Trace]Program Start....
0730 20:18:08: {main, T} [Trace]Program Start....
0730 20:18:09: {main, T} [Trace]Program Start....
0730 20:18:10: {main, T} [Trace]Program Start....
0730 20:18:11: {main, T} [Trace]Program Start....
0730 20:18:12: {main, T} [Trace]Program Start....
0730 20:18:13: {main, T} [Trace]Program Start....
0730 20:18:14: {main, T} [Trace]Program Start....
0730 20:18:15: {main, T} [Trace]Program Start....
0730 20:18:16: {main, T} [Trace]Program Start....
0730 20:18:17: {main, T} [Trace]Program Start....
0730 20:18:18: {main, T} [Trace]Program Start....
0730 20:18:19: {main, T} [Trace]Program Start....
0730 20:18:20: {main, T} [Trace]Program Start....
0730 20:18:21: {main, T} [Trace]Program Start....
0730 20:18:22: {main, T} [Trace]Program Start....
0730 20:18:23: {main, T} [Trace]Program Start....
0730 20:18:24: {main, T} [Trace]Program Start....
0730 20:18:25: {main, T} [Trace]Program Start....
0730 20:18:26: {main, T} [Trace]Program Start....
0730 20:18:27: {main, T} [Trace]Program Start....
0730 20:18:28: {main, T} [Trace]Program Start....
0730 20:18:29: {main, T} [Trace]Program Start....
0730 20:18:30: {main, T} [Trace]Program Start....
0730 20:18:31: {main, T} [Trace]Program Start....
0730 20:18:32: {main, T} [Trace]Program Start....
0730 20:18:33: {main, T} [Trace]Program Start....
0730 20:18:34: {main, T} [Trace]Program Start....
0730 20:18:35: {main, T} [Trace]Program Start....
0730 20:18:36: {main, T} [Trace]Program Start....
0730 20:18:37: {main, T} [Trace]Program Start....
0730 20:18:38: {main, T} [Trace]Program Start....
0730 20:18:39: {main, T} [Trace]Program Start....
0730 20:18:40: {main, T} [Trace]Program Start....
0730 20:18:41: {main, T} [Trace]Program Start....
0730 20:18:42: {main, T} [Trace]Program Start....
0730 20:18:43: {main, T} [Trace]Program Start....
0730 20:18:44: {main, T} [Trace]Program Start....
0730 20:18:45: {main, T} [Trace]Program Start....
0730 20:18:46: {main, T} [Trace]Program Start....
0730 20:18:47: {main, T} [Trace]Program Start....
0730 20:18:48: {main, T} [Trace]Program Start....
0730 20:18:49: {main, T} [Trace]Program Start....
0730 20:18:50: {main, T} [Trace]Program Start....
0730 20:18:51: {main, T} [Trace]Program Start....
0730 20:18:52: {main, T} [Trace]Program Start....
0730 20:18:53: {main, T} [Trace]Program Start....
0730 20:18:54: {main, T} [Trace]Program Start....
0730 20:18:55: {main, T} [Trace]Program Start....
0730 20:18:56: {main, T} [Trace]Program Start....
0730 20:18:57: {main, T} [Trace]Program Start....
0730 20:18:58: {main, T} [Trace]Program Start....
0730 20:18:59: {main, T} [Trace]Program Start....
0730 20:19:00: {main, T} [Trace]Program Start....
0730 20:19:01: {main, T} [Trace]Program Start....
0730 20:19:02: {main, T} [Trace]Program Start....
0730 20:19:03: {main, T} [Trace]Program Start....
0730 20:19:04: {main, T} [Trace]Program Start....
0730 20:19:05: {main, T} [Trace]Program Start....
0730 20:19:06: {main, T} [Trace]Program Start....
0730 20:19:07: {main, T} [Trace]Program Start....
0730 20:19:08: {main, T} [Trace]Program Start....
0730 20:19:09: {main, T} [Trace]Program Start....
0730 20:19:10: {main, T} [Trace]Program Start....
0730 20:19:11: {main, T} [Trace]Program Start....
0730 20:19:12: {main, T} [Trace]Program Start....
0730 20:19:13: {main, T} [Trace]Program Start....
0730 20:19:14: {main, T} [Trace]Program Start....
0730 20:19:15: {main, T} [Trace]Program Start....
0730 20:19:16: {main, T} [Trace]Program Start....
0730 20:19:17: {main, T} [Trace]Program Start....
0730 20:19:18: {main, T} [Trace]Program Start....
0730 20:19:19: {main, T} [Trace]Program Start....
0730 20:19:20: {main, T} [Trace]Program Start....
0730 20:19:21: {main, T} [Trace]Program Start....
0730 20:19:22: {main, T} [Trace]Program Start....
0730 20:19:23: {main, T} [Trace]Program Start....
0730 20:19:24: {main, T} [Trace]Program Start....
0730 20:19:25: {main, T} [Trace]Program Start....
0730 20:19:26: {main, T} [Trace]Program Start....
0730 20:19:27: {main, T} [Trace]Program Start....
0730 20:19:28: {main, T} [Trace]Program Start....
0730 20:19:29: {main, T} [Trace]Program Start....
0730 20:19:30: {main, T} [Trace]Program Start....
0730 20:19:31: {main, T} [Trace]Program Start....
0730 20:19:32: {main, T} [Trace]Program Start....
0730 20:19:33: {main, T} [Trace]Program Start....
0730 20:31:08: {main, T} [Trace]Program Start....
0730 20:31:09: {main, T} [Trace]Program Start....
0730 20:31:10: {main, T} [Trace]Program Start....
0730 20:31:11: {main, T} [Trace]Program Start....
0730 20:31:12: {main, T} [Trace]Program Start....
0730 20:31:13: {main, T} [Trace]Program Start....
0730 20:31:14: {main, T} [Trace]Program Start....
0730 20:31:15: {main, T} [Trace]Program Start....
0730 20:31:16: {main, T} [Trace]Program Start....
0730 20:31:17: {main, T} [Trace]Program Start....
0730 20:31:18: {main, T} [Trace]Program Start....
0730 20:31:19: {main, T} [Trace]Program Start....
0730 20:31:20: {main, T} [Trace]Program Start....
0730 20:31:21: {main, T} [Trace]Program Start....
0730 20:31:22: {main, T} [Trace]Program Start....
0730 20:31:23: {main, T} [Trace]Program Start....
0730 20:31:24: {main, T} [Trace]Program Start....
0730 20:31:25: {main, T} [Trace]Program Start....
0730 20:31:26: {main, T} [Trace]Program Start....
0730 20:31:27: {main, T} [Trace]Program Start....
0730 20:31:28: {main, T} [Trace]Program Start....
0730 20:31:29: {main, T} [Trace]Program Start....
0730 20:31:30: {main, T} [Trace]Program Start....
0730 20:31:31: {main, T} [Trace]Program Start....
0730 20:31:32: {main, T} [Trace]Program Start....
0730 20:31:33: {main, T} [Trace]Program Start....
0730 20:31:34: {main, T} [Trace]Program Start....
0730 20:31:35: {main, T} [Trace]Program Start....
0730 20:31:36: {main, T} [Trace]Program Start....
0730 20:31:37: {main, T} [Trace]Program Start....
0730 20:31:38: {main, T} [Trace]Program Start....
0730 20:31:39: {main, T} [Trace]Program Start....
0730 20:31:40: {main, T} [Trace]Program Start....
0730 20:31:41: {main, T} [Trace]Program Start....
0730 20:31:42: {main, T} [Trace]Program Start....
0730 20:31:43: {main, T} [Trace]Program Start....
0730 20:31:44: {main, T} [Trace]Program Start....
0730 20:31:45: {main, T} [Trace]Program Start....
0730 20:31:46: {main, T} [Trace]Program Start....
0730 20:31:47: {main, T} [Trace]Program Start....
0730 20:31:48: {main, T} [Trace]Program Start....
0730 20:31:49: {main, T} [Trace]Program Start....
0730 20:31:50: {main, T} [Trace]Program Start....
0730 20:31:51: {main, T} [Trace]Program Start....
0730 20:31:52: {main, T} [Trace]Program Start....
0730 20:31:53: {main, T} [Trace]Program Start....
0730 20:31:54: {main, T} [Trace]Program Start....
0730 20:31:55: {main, T} [Trace]Program Start....
0730 20:31:56: {main, T} [Trace]Program Start....
0730 20:31:57: {main, T} [Trace]Program Start....
0730 20:31:58: {main, T} [Trace]Program Start....
0730 20:31:59: {main, T} [Trace]Program Start....
0730 20:32:00: {main, T} [Trace]Program Start....
0730 20:32:01: {main, T} [Trace]Program Start....
0730 20:32:02: {main, T} [Trace]Program Start....
0730 20:32:03: {main, T} [Trace]Program Start....
0730 20:32:04: {main, T} [Trace]Program Start....
0730 20:32:05: {main, T} [Trace]Program Start....
0730 20:32:06: {main, T} [Trace]Program Start....
0730 20:32:07: {main, T} [Trace]Program Start....
0730 20:33:57: {main, T} [Trace]Program Start....
0730 20:33:58: {main, T} [Trace]Program Start....
0730 20:33:59: {main, T} [Trace]Program Start....
0730 20:34:00: {main, T} [Trace]Program Start....
0730 20:34:01: {main, T} [Trace]Program Start....
0730 20:34:02: {main, T} [Trace]Program Start....
0730 20:34:03: {main, T} [Trace]Program Start....
0730 20:34:04: {main, T} [Trace]Program Start....
0730 20:34:05: {main, T} [Trace]Program Start....
0730 20:34:06: {main, T} [Trace]Program Start....
0730 20:34:07: {main, T} [Trace]Program Start....
0730 20:34:08: {main, T} [Trace]Program Start....
0730 20:34:09: {main, T} [Trace]Program Start....
0730 20:34:10: {main, T} [Trace]Program Start....
0730 20:34:11: {main, T} [Trace]Program Start....
0730 20:34:12: {main, T} [Trace]Program Start....
0730 20:34:13: {main, T} [Trace]Program Start....
0730 20:34:14: {main, T} [Trace]Program Start....
0730 20:34:15: {main, T} [Trace]Program Start....
0730 20:34:16: {main, T} [Trace]Program Start....
0730 20:34:17: {main, T} [Trace]Program Start....
0730 20:34:18: {main, T} [Trace]Program Start....
0730 20:34:19: {main, T} [Trace]Program Start....
0730 20:34:20: {main, T} [Trace]Program Start....
0730 20:34:21: {main, T} [Trace]Program Start....
0730 20:34:22: {main, T} [Trace]Program Start....
0730 20:34:23: {main, T} [Trace]Program Start....
0730 20:34:24: {main, T} [Trace]Program Start....
0730 20:34:25: {main, T} [Trace]Program Start....
0730 20:34:26: {main, T} [Trace]Program Start....
0730 20:34:27: {main, T} [Trace]Program Start....
0730 20:34:28: {main, T} [Trace]Program Start....
0730 20:34:29: {main, T} [Trace]Program Start....
0730 20:34:30: {main, T} [Trace]Program Start....
0730 20:34:31: {main, T} [Trace]Program Start....
0730 20:34:32: {main, T} [Trace]Program Start....
0730 20:34:33: {main, T} [Trace]Program Start....
0730 20:34:34: {main, T} [Trace]Program Start....
0730 20:34:35: {main, T} [Trace]Program Start....
0730 20:34:36: {main, T} [Trace]Program Start....
0730 20:34:37: {main, T} [Trace]Program Start....
0730 20:34:38: {main, T} [Trace]Program Start....
0730 20:34:39: {main, T} [Trace]Program Start....
0730 20:34:40: {main, T} [Trace]Program Start....
0730 20:34:41: {main, T} [Trace]Program Start....
0730 20:34:42: {main, T} [Trace]Program Start....
0730 20:34:43: {main, T} [Trace]Program Start....
